CustomerID,Gender,Age,MaritalStatus,AnnualIncome,MembershipStatus,ChannelPreference,LastPurchaseDate,Frequency,AverageOrderValue,RecencyDays,CampaignResponseRate,WebsiteVisitsLastMonth,CartAbandonmentRate,LoyaltyScore,CLV
1023,Male,38,Divorced,71560.17,Silver,Social Media,2025-03-14,15,89.33,29,0.65,8,0.45,95.37,2617.86
1024,Other,24,Widowed,38408.08,Platinum,Push Notification,2025-04-01,11,47.59,11,0.18,14,0.23,91.04,1000.08
1025,Female,36,Married,64663.61,Platinum,SMS,2025-01-20,11,43.34,82,0.49,5,0.22,97.99,943.9
1026,Other,66,Widowed,60861.19,Silver,Email,2025-02-25,11,147.35,46,0.16,15,0.33,60.49,2601.3
1027,Male,20,Married,58336.02,Gold,Push Notification,2025-04-11,13,52.57,1,0.31,12,0.07,89.56,1295.47
1028,Other,63,Single,85270.27,Silver,Push Notification,2025-03-19,18,135.2,24,0.07,9,0.14,93.49,4708.77
1029,Other,58,Divorced,36083.59,Platinum,Email,2025-02-26,16,84.07,45,0.17,12,0.32,63.77,2202.9
1030,Other,20,Single,77689.46,Gold,Social Media,2025-02-18,12,135.2,53,0.22,7,0.36,48.62,2411.21
1031,Other,44,Divorced,63767.92,Silver,Push Notification,2025-02-17,12,139.26,54,0.1,10,0.47,93.09,3226.77
1032,,60,Widowed,58156.33,Silver,Social Media,2025-03-24,7,48.23,19,0.37,15,0.39,67.86,566.71
1033,Other,22,Married,40795.63,Gold,Email,2025-02-02,12,137.31,69,0.16,10,0.17,59.11,2621.69
1034,Other,53,Divorced,69212.5,Platinum,SMS,2025-03-13,8,74.46,30,0.58,12,0.4,79.67,1070.26
1035,Male,64,Divorced,42453.47,Platinum,Email,2025-02-07,7,51.87,64,0.13,10,0.16,65.64,601.42
1036,Other,64,Divorced,53392.43,Gold,Email,2025-02-20,7,73.57,51,0.4,7,0.28,62.57,837.22
1037,Female,26,Divorced,51822.46,Silver,SMS,2025-04-08,6,79.25,4,0.33,7,0.33,89.0,898.7
1038,Other,23,Single,48573.98,Silver,Push Notification,2025-03-01,12,122.13,42,0.36,11,0.73,66.26,2436.64
1039,Male,54,Married,63913.6,Silver,Push Notification,2025-03-12,12,125.31,31,0.11,7,0.28,82.98,2751.51
1040,Other,47,Married,70445.27,Silver,Push Notification,2025-01-31,16,58.28,71,0.35,12,0.33,100.0,1864.96
1041,Male,34,Married,36307.19,Gold,Push Notification,2025-04-07,17,95.23,5,0.23,11,0.37,77.73,2877.29
1042,Other,55,Divorced,63723.31,Gold,Push Notification,2025-02-16,15,54.55,55,0.14,10,0.65,36.41,1116.17
1043,Male,62,Married,54216.93,Silver,Social Media,2025-02-27,14,113.27,44,0.06,15,0.39,77.71,2818.09
1044,Male,42,Married,99653.57,Gold,Email,2025-03-25,9,101.16,18,0.37,4,0.28,67.9,1528.63
1045,Male,68,Single,74278.25,Silver,Email,2025-03-12,13,36.57,31,0.5,9,0.22,52.46,724.81
1046,Female,61,Single,56088.97,Gold,Social Media,2025-04-05,18,99.32,7,0.51,7,0.25,54.91,2769.42
1047,Other,24,Widowed,62233.35,Silver,SMS,2025-04-06,13,120.0,6,0.31,11,0.17,93.69,3021.56
1048,Other,21,Widowed,28899.15,Silver,Push Notification,2025-02-01,19,62.49,70,0.06,12,0.49,67.13,1984.35
1049,Female,50,Married,67340.62,Silver,Push Notification,2025-01-24,13,126.64,78,0.26,17,0.14,85.33,3051.12
1050,Female,65,Widowed,67001.74,Gold,Email,2025-03-21,8,80.57,22,0.14,8,0.68,89.58,1221.96
1051,Other,49,Single,59535.63,Silver,Social Media,2025-03-05,11,62.24,38,0.5,10,0.09,67.96,1149.92
1052,Male,59,Married,67904.06,Silver,Push Notification,2025-02-21,8,61.98,50,0.1,11,0.51,77.21,878.68
1053,Male,46,Widowed,56661.88,Silver,Push Notification,2025-02-12,11,72.68,59,0.09,12,0.21,92.24,1536.92
1054,Male,26,Single,49452.35,Gold,Email,2025-03-25,6,89.46,18,0.09,13,0.53,73.88,933.32
1055,Male,64,Single,69310.08,Platinum,SMS,2025-03-30,15,121.08,13,0.27,11,0.34,45.71,2646.39
1056,Male,32,Widowed,55807.51,Gold,SMS,2025-04-05,14,140.93,7,0.44,13,0.11,59.36,3144.2
1057,Female,40,Single,79168.9,Silver,Email,2025-02-05,5,94.74,66,0.12,11,0.37,93.35,915.9
1058,Female,46,Divorced,49748.52,Platinum,Push Notification,2025-03-06,13,77.79,37,0.29,8,0.25,60.7,1625.11
1059,Female,54,Widowed,55873.14,Gold,Push Notification,2025-03-03,15,80.11,40,0.67,11,0.11,83.33,2202.98
1060,Male,23,Married,50656.94,Silver,Email,2025-01-25,15,55.96,77,0.56,10,0.62,41.31,1186.16
1061,Other,45,Single,46824.43,Gold,Email,2025-04-01,12,132.26,11,0.27,8,0.35,88.61,2993.47
1062,Male,20,Widowed,60538.42,Gold,SMS,2025-03-06,10,97.89,37,0.39,12,0.4,72.49,1688.5
1063,Male,60,Single,62200.71,Platinum,Email,2025-04-02,15,53.18,10,0.28,9,0.24,92.8,1537.97
1064,Other,45,Single,56454.71,Gold,SMS,2025-02-06,14,66.12,65,0.2,11,0.38,73.03,1601.7
1065,Female,68,Single,29471.4,Platinum,SMS,2025-01-18,9,49.07,84,0.37,10,0.44,81.46,801.38
1066,Other,54,Single,63649.61,Gold,Push Notification,2025-03-19,13,62.91,24,0.24,7,0.09,80.14,1473.24
1067,Other,32,Divorced,66851.3,Platinum,SMS,2025-03-07,11,32.14,36,0.12,7,0.1,81.67,642.28
1068,Other,19,Divorced,45069.67,Silver,Push Notification,2025-02-13,15,84.63,58,0.5,13,0.17,74.95,2220.9
1069,Male,39,Divorced,42624.53,Gold,Email,2025-01-27,9,123.1,75,0.41,9,0.35,78.16,1973.83
1070,Male,26,Widowed,73204.44,Gold,Email,2025-02-11,14,70.73,60,0.21,11,0.23,59.53,1579.7
1071,Male,49,Married,,Gold,SMS,2025-02-24,12,116.3,47,0.26,4,0.41,67.75,2341.12
1072,Female,21,Single,83609.8,Platinum,Social Media,2025-01-15,12,91.68,87,0.2,11,0.28,67.66,1844.53
1073,Female,43,Married,,Gold,Social Media,2025-03-17,8,146.57,26,0.34,14,0.06,80.61,2117.76
1074,Other,19,Single,58697.33,Gold,Social Media,2025-02-01,16,100.61,70,0.04,14,0.39,100.0,3219.52
1075,Other,29,Single,41101.2,Platinum,SMS,2025-03-27,14,50.11,16,0.11,7,0.28,85.99,1304.79
1076,,22,Single,58789.25,Platinum,SMS,2025-01-18,7,112.58,84,0.5,11,0.06,75.96,1386.67
1077,Female,25,Divorced,61808.85,Gold,Social Media,2025-04-04,22,110.71,8,0.45,12,0.38,77.96,4334.43
1078,Male,50,Divorced,66738.43,Gold,Social Media,2025-01-28,13,49.11,74,0.05,13,0.23,73.33,1106.59
1079,Male,51,Single,71517.21,Gold,Social Media,2025-03-21,11,44.43,22,0.24,9,0.35,99.63,975.65
1080,Male,27,Single,75147.26,Silver,SMS,2025-03-30,15,95.08,13,0.06,10,0.19,76.94,2523.52
1081,Other,68,Divorced,65700.71,Silver,Push Notification,2025-03-09,10,88.3,34,0.21,10,0.4,72.99,1527.5
1082,Other,48,Widowed,57611.64,Gold,Email,2025-03-17,8,125.21,26,0.16,10,0.55,68.06,1683.42
1083,Male,59,Married,43778.71,Gold,Social Media,2025-02-20,17,58.42,51,0.12,12,0.1,84.51,1832.44
1084,Other,38,Married,66206.99,Gold,Email,2025-01-29,6,107.04,73,0.22,11,0.12,83.53,1178.7
1085,Female,56,Divorced,84425.95,Platinum,Email,2025-01-18,15,107.43,84,0.03,11,0.27,84.47,2972.64
1086,Female,20,Married,36650.76,Gold,Email,2025-02-09,12,69.96,62,0.21,4,0.14,98.75,1668.55
1087,Female,34,Widowed,55398.29,Platinum,SMS,2025-03-19,12,44.38,24,0.32,5,0.31,70.64,908.76
1088,Male,62,Married,53882.65,Platinum,SMS,2025-01-13,10,142.43,89,0.04,11,0.23,76.23,2510.04
1089,Female,52,Single,58516.66,Silver,Social Media,2025-02-05,14,116.57,66,0.25,11,0.57,67.26,2729.65
1090,Female,52,Married,73976.64,Silver,Email,2025-02-19,11,74.1,52,0.34,10,0.4,60.5,1308.24
1091,Female,68,Single,66257.86,Platinum,SMS,2025-04-01,13,55.41,11,0.52,9,0.23,55.88,1122.85
1092,Male,54,Widowed,69391.15,Silver,SMS,2025-02-21,13,104.87,50,0.01,9,0.28,66.35,2267.87
1093,Male,55,Single,21134.37,Gold,Push Notification,2025-03-27,9,46.45,16,0.07,18,0.39,74.59,729.87
1094,Female,21,Divorced,46000.98,Platinum,Social Media,2025-04-01,16,108.21,11,0.23,17,0.39,72.03,2978.46
1095,Female,67,Widowed,54303.64,Gold,Social Media,2025-02-23,12,109.12,48,0.24,10,0.19,78.55,2338.01
1096,Male,62,,53177.7,Platinum,Social Media,2025-03-14,15,34.27,29,0.02,13,0.68,63.03,838.06
1097,Male,65,Divorced,57829.04,Silver,Push Notification,2025-03-16,22,122.31,27,0.05,11,0.2,65.35,4449.27
1098,Female,57,Divorced,73917.6,Gold,Email,2025-03-19,7,140.44,24,0.55,5,0.32,67.33,1644.99
1099,Female,37,Married,48594.0,Silver,Push Notification,2025-03-31,7,136.43,12,0.06,7,0.45,59.42,1522.48
1100,Male,39,Married,67543.51,Silver,Email,2025-03-19,15,94.75,24,0.16,18,0.31,84.9,2627.89
1101,Other,36,Divorced,81528.71,Gold,Email,2025-01-27,8,99.26,75,0.17,13,0.2,55.6,1235.59
1102,Other,38,Divorced,76169.31,Gold,Push Notification,2025-02-25,15,52.56,46,0.52,13,0.16,61.69,1274.76
1103,Female,23,Widowed,53438.13,Gold,SMS,2025-03-14,11,116.65,29,0.22,12,0.08,66.72,2139.27
1104,Male,31,Widowed,98372.99,Gold,Push Notification,2025-01-28,14,57.05,74,0.22,11,0.57,83.3,1464.02
1105,Other,36,Married,52593.6,Gold,Social Media,2025-03-13,11,69.38,30,0.15,16,0.62,92.21,1466.91
1106,Female,28,Single,55436.64,Silver,SMS,2025-04-10,9,147.56,2,0.44,13,0.2,34.29,1783.42
1107,Female,22,Divorced,48007.53,Gold,Push Notification,2025-02-19,14,35.98,52,0.32,3,0.24,58.96,800.71
1108,Other,42,Married,30952.22,Gold,SMS,2025-02-04,15,88.51,67,0.01,18,0.14,86.91,2481.51
1109,Other,43,Single,41185.66,Silver,Social Media,2025-01-18,8,67.04,84,0.1,7,0.44,83.27,982.91
1110,Male,27,Married,53471.94,Gold,SMS,2025-03-25,16,85.48,18,0.65,10,0.21,64.36,2247.92
1111,Male,21,Married,52343.46,Silver,SMS,2025-03-09,15,54.59,34,0.18,13,0.34,60.4,1313.44
1112,Female,69,Single,59919.04,Gold,SMS,2025-04-02,11,41.21,10,0.1,9,0.25,75.73,796.6
1113,Other,37,Widowed,74352.85,Gold,SMS,2025-01-15,13,103.62,87,0.41,11,0.54,62.11,2183.72
1114,Male,18,Single,77135.78,Platinum,Email,2025-03-12,14,49.91,31,0.17,11,0.33,80.08,1258.29
1115,Female,69,Married,55568.98,Silver,Push Notification,2025-01-21,18,121.15,81,0.06,14,0.25,87.86,4096.66
1116,Male,68,Married,57466.49,Platinum,Email,2025-01-24,11,108.14,78,0.05,6,0.55,68.97,2009.97
1117,Female,25,Married,67863.97,Platinum,Social Media,2025-02-05,6,70.85,66,0.18,13,0.31,87.89,798.72
1118,Female,44,Widowed,65192.67,Platinum,Push Notification,2025-02-11,13,83.65,60,0.45,21,0.23,85.64,2018.74
1119,Male,36,Widowed,53467.7,Gold,SMS,2025-02-03,13,93.92,68,0.07,4,0.35,84.83,2256.7
1120,Other,21,Divorced,82915.85,Platinum,Push Notification,2025-02-18,10,148.68,53,0.18,9,0.23,74.05,2587.78
1121,Other,26,Married,37177.09,Silver,Email,2025-03-30,13,81.65,13,0.36,15,0.37,76.13,1869.53
1122,Other,45,Divorced,35970.51,Silver,Social Media,2025-03-14,9,146.49,29,0.21,8,0.34,37.47,1812.42
1123,Female,62,Single,37000.88,Silver,SMS,2025-03-14,12,103.29,29,0.18,2,0.48,80.66,2239.24
1124,Female,26,Married,57292.65,Gold,Email,2025-02-20,16,128.18,51,0.41,12,0.39,83.69,3767.26
1125,Female,62,Widowed,65224.08,Silver,Push Notification,2025-02-08,13,128.85,63,0.35,9,0.2,82.68,3059.98
1126,Female,46,Single,57475.38,Silver,Push Notification,2025-03-12,14,101.24,31,0.23,6,0.36,49.54,2119.52
1127,Female,18,Single,50316.46,Platinum,Push Notification,2025-02-25,6,139.22,46,0.14,4,0.18,78.94,1494.72
1128,Female,61,Single,75767.91,Platinum,Social Media,2025-02-13,11,99.86,58,0.67,9,0.17,94.65,2138.15
1129,Female,60,Widowed,80935.26,Gold,SMS,2025-02-02,11,101.52,69,0.44,5,0.26,48.49,1658.22
1130,Female,23,Married,38235.4,Silver,Push Notification,2025-04-02,15,64.71,10,0.23,9,0.58,98.59,1927.61
1131,Male,40,Widowed,63756.79,Silver,Push Notification,2025-04-11,11,61.12,1,0.14,8,0.36,79.38,1206.01
1132,Other,41,Married,73491.97,Platinum,SMS,2025-01-14,13,77.42,88,0.31,12,0.22,73.13,1742.48
1133,Other,65,Single,42411.13,Platinum,Email,2025-01-16,12,88.97,86,0.53,15,0.33,97.76,2111.36
1134,Male,24,Widowed,85429.94,Silver,Push Notification,2025-03-05,20,43.11,38,0.16,9,0.35,91.86,1654.22
1135,Male,27,Single,74212.9,Silver,Social Media,2025-03-20,7,73.05,23,0.13,8,0.33,87.01,956.28
1136,Male,26,Widowed,71314.37,Silver,Push Notification,2025-02-03,13,88.52,68,0.31,8,0.08,84.89,2127.64
1137,Female,19,Widowed,74063.55,Silver,Email,2025-04-07,6,65.43,5,0.23,9,0.45,75.9,690.55
1138,Female,36,Single,64160.65,Gold,Email,2025-01-25,14,136.64,77,0.27,13,0.2,67.37,3201.72
1139,Female,48,Married,49579.3,Gold,Email,2025-04-06,13,119.84,6,0.2,8,0.23,61.99,2523.67
1140,Male,28,Married,57458.26,Silver,Email,2025-03-04,19,75.28,39,0.37,6,0.38,62.55,2324.99
1141,Other,21,Married,44169.19,Silver,Push Notification,2025-02-02,7,107.3,69,0.38,9,0.4,53.75,1154.82
1142,Other,58,Single,63298.76,Gold,SMS,2025-02-10,11,74.54,61,0.07,13,0.44,69.9,1393.08
1143,Female,18,Divorced,55070.72,Platinum,SMS,2025-02-16,11,43.38,55,0.28,9,0.24,60.08,763.87
1144,Other,64,Single,69885.47,Platinum,SMS,2025-04-06,9,135.32,6,0.14,8,0.2,91.47,2331.87
1145,Female,64,Single,56434.57,Gold,Social Media,2025-03-19,9,65.2,24,0.58,14,0.27,85.15,1086.46
1146,Other,39,Widowed,64681.04,Silver,SMS,2025-04-08,13,37.17,4,0.27,10,0.19,79.88,869.2
1147,Male,43,Married,54372.05,Silver,Social Media,2025-02-27,13,99.4,44,0.18,12,0.45,82.0,2351.8
1148,Other,64,Single,62484.88,Platinum,Email,2025-02-05,12,35.35,66,0.14,13,0.1,51.65,643.3
1149,Female,25,Widowed,66717.93,Gold,Email,2025-01-26,9,101.23,76,0.3,16,0.3,56.35,1424.46
1150,Other,64,Divorced,56386.33,Silver,Push Notification,2025-02-18,13,124.13,53,0.04,13,0.37,86.41,3008.08
1151,Female,46,Single,91495.83,Gold,Social Media,2025-02-10,7,77.74,61,0.29,17,0.52,86.86,1016.85
1152,Other,44,Widowed,76893.0,Gold,Push Notification,2025-02-24,23,130.78,47,0.19,9,0.33,63.58,4920.39
1153,Male,62,Divorced,71689.11,Gold,Push Notification,2025-03-03,19,80.33,40,0.25,11,0.21,75.17,2673.57
1154,Female,20,Widowed,70644.62,Platinum,Social Media,2025-02-14,15,128.97,57,0.0,16,0.3,95.5,3782.05
1155,Female,57,Married,47335.81,Platinum,Email,2025-03-27,9,66.47,16,0.51,9,0.54,86.75,1117.19
1156,Female,53,Widowed,56226.92,Silver,Push Notification,2025-03-11,11,109.32,32,0.36,13,0.53,69.24,2035.14
1157,Other,18,Widowed,63753.0,Silver,Push Notification,2025-03-02,14,146.69,41,0.11,13,0.27,84.63,3791.67
1158,Female,20,Married,43292.2,Gold,Social Media,2025-03-08,14,95.92,35,0.48,15,0.22,75.81,2360.92
1159,Female,23,Divorced,103850.33,Silver,Social Media,2025-02-14,12,45.81,57,0.18,13,0.27,76.05,967.78
1160,Other,28,Single,50403.53,Gold,SMS,2025-04-11,8,142.2,1,0.44,9,0.56,77.47,2018.9
1161,Male,37,Married,59392.22,Gold,Push Notification,2025-03-11,14,53.88,32,0.55,8,0.13,97.7,1491.29
1162,Other,43,Married,50799.59,Gold,Push Notification,2025-01-22,13,92.36,80,0.36,11,0.16,100.0,2401.36
1163,Female,36,Single,50581.75,Silver,SMS,2025-04-07,13,62.09,5,0.53,8,0.39,83.27,1479.3
1164,Female,39,Married,65108.84,Silver,Social Media,2025-01-28,13,36.06,74,0.05,16,0.27,74.62,818.58
1165,Female,44,Divorced,91585.16,Gold,Social Media,2025-02-10,11,119.81,61,0.18,12,0.38,67.46,2206.97
1166,Female,66,Widowed,63952.31,Silver,Social Media,2025-01-17,16,139.38,85,0.27,15,0.14,52.83,3408.23
1167,Male,35,Single,43028.8,Gold,Social Media,2025-01-23,18,54.03,79,0.4,4,0.25,87.16,1820.21
1168,Male,26,Married,55955.38,Silver,Push Notification,2025-03-30,11,106.55,13,0.17,13,0.47,50.03,1758.43
1169,Female,60,Divorced,84392.14,Platinum,SMS,2025-02-04,7,79.16,67,0.07,4,0.36,70.03,942.17
1170,Female,21,Married,50816.45,Silver,Social Media,2025-02-22,18,96.41,49,0.5,13,0.31,61.49,2802.47
1171,Male,66,Married,48490.69,Silver,Email,2025-02-18,7,96.4,53,0.08,12,0.14,59.44,1075.9
1172,Other,40,Divorced,71157.24,Gold,SMS,2025-02-19,11,133.56,52,0.46,8,0.33,60.41,2356.68
1173,Other,59,Widowed,63141.7,Silver,Email,2025-03-07,13,36.93,36,0.11,11,0.22,61.98,777.65
1174,Other,67,Divorced,,Gold,Push Notification,2025-03-12,10,99.05,31,0.14,12,0.23,88.73,1869.37
1175,Female,18,Married,76100.67,Platinum,Social Media,2025-03-19,12,54.41,24,0.27,13,0.25,54.93,1011.57
1176,,57,Single,58692.02,Platinum,Push Notification,2025-02-04,22,107.8,67,0.3,8,0.24,100.0,4743.2
1177,Female,48,Single,55757.3,Gold,Email,2025-01-21,14,56.12,81,0.11,13,0.42,57.84,1240.12
1178,Male,54,Married,60859.36,Platinum,Social Media,2025-01-20,9,76.39,82,0.06,7,0.5,63.1,1121.33
1179,Male,30,Married,75912.21,Silver,Push Notification,2025-03-04,14,100.62,39,0.47,12,0.41,83.49,2584.79
1180,Other,66,Married,59089.03,Platinum,Push Notification,2025-03-21,9,61.69,22,0.24,7,0.48,83.28,1017.59
1181,Female,40,Widowed,69384.46,Silver,Push Notification,2025-01-12,8,85.68,90,0.34,11,0.16,68.41,1154.35
1182,Female,30,Single,84492.81,Gold,Email,2025-03-07,9,38.07,36,0.54,6,0.5,56.98,537.86
1183,Male,55,Married,70378.22,Silver,Email,2025-03-27,14,45.92,16,0.23,9,0.36,78.51,1147.61
1184,Male,65,Married,43920.38,Silver,Email,2025-02-22,18,93.32,49,0.28,9,0.1,100.0,3359.52
1185,Male,42,Single,60055.44,Gold,Push Notification,2025-04-09,14,48.74,3,0.29,9,0.22,98.31,1353.19
1186,Female,29,Single,72809.64,Silver,Social Media,2025-03-07,11,139.23,36,0.32,5,0.23,54.18,2361.31
1187,Other,63,Widowed,69546.14,Silver,SMS,2025-04-07,14,133.56,5,0.22,10,0.3,80.15,3368.52
1188,Female,47,Married,64626.75,Gold,SMS,2025-03-13,10,124.73,30,0.12,16,0.72,68.83,2105.82
1189,Other,25,Married,52739.26,Platinum,SMS,2025-02-19,9,129.19,52,0.15,13,0.28,64.42,1911.73
1190,Male,41,Single,75120.03,Silver,Social Media,2025-03-05,13,88.54,38,0.34,10,0.43,80.91,2082.31
1191,Other,56,Divorced,31084.91,Gold,Push Notification,2025-04-09,13,142.85,3,0.3,11,0.17,64.29,3050.95
1192,Other,49,Divorced,85352.66,Gold,,2025-04-01,7,144.17,11,0.45,11,0.05,55.63,1570.6
1193,Other,47,Widowed,64362.79,Gold,Email,2025-03-04,16,78.79,39,0.23,9,0.2,100.0,2521.28
1194,Female,39,Divorced,94007.7,Gold,Email,2025-02-19,15,102.03,52,0.29,10,0.22,85.52,2839.29
1195,Male,64,Married,62724.14,Platinum,Email,2025-04-10,18,85.96,2,0.15,13,0.21,77.12,2740.54
1196,Other,69,Divorced,28041.5,Gold,SMS,2025-04-01,14,122.83,11,0.41,7,0.49,78.37,3067.29
1197,Female,60,Widowed,67281.97,Platinum,SMS,2025-02-06,15,120.09,65,0.36,9,0.46,82.58,3288.9
1198,Other,45,Widowed,62937.68,Gold,Push Notification,2025-02-07,13,53.08,64,0.59,8,0.21,65.04,1138.84
1199,Male,63,Widowed,73224.0,Silver,Social Media,2025-03-31,6,61.33,12,0.47,9,0.44,76.28,648.68
1200,Female,41,Single,15132.96,Platinum,Social Media,2025-01-19,12,120.14,83,0.21,13,0.1,92.03,2768.46
1201,Female,18,Widowed,43405.6,Silver,Push Notification,2025-03-12,11,142.83,31,0.39,10,0.32,92.28,3020.97
1202,Other,22,Single,87332.53,Gold,Social Media,2025-03-16,10,56.15,27,0.29,10,0.68,87.21,1051.18
1203,Female,62,Divorced,49267.25,Silver,Push Notification,2025-02-05,6,41.06,66,0.07,12,0.21,80.89,445.64
1204,Other,45,Single,83857.55,Gold,Push Notification,2025-02-05,22,71.7,66,0.11,7,0.47,55.69,2455.85
1205,Female,64,Single,39043.23,Silver,Social Media,2025-02-13,8,73.0,58,0.22,11,0.15,67.0,975.28
1206,Other,40,Widowed,63385.47,Gold,Email,2025-03-04,12,87.07,39,0.13,11,0.33,77.7,1856.68
1207,Male,34,Divorced,67311.21,Gold,Social Media,2025-01-31,14,111.76,71,0.36,9,0.4,81.99,2847.49
1208,Female,33,Widowed,33681.87,Silver,SMS,2025-01-15,16,80.3,87,0.07,18,0.26,78.03,2287.33
1209,Other,22,Married,84477.85,Silver,Email,2025-01-31,15,83.27,71,0.24,7,0.19,49.17,1863.21
1210,Other,27,Widowed,65434.78,Silver,Email,2025-03-02,13,34.71,41,0.57,9,0.32,81.65,819.66
1211,Female,64,Single,42721.97,Gold,,2025-03-28,11,140.03,15,0.17,12,0.31,58.82,2446.35
1212,Female,19,Divorced,46575.94,Gold,Social Media,2025-03-11,18,36.07,32,0.33,11,0.15,80.17,1169.77
1213,Female,19,Widowed,58884.47,Platinum,SMS,2025-03-30,5,97.93,13,0.16,5,0.27,53.37,750.98
1214,Female,40,Married,72859.96,Silver,SMS,2025-03-14,9,36.16,29,0.01,10,0.42,68.11,547.1
1215,Male,53,Divorced,49580.99,Platinum,Push Notification,2025-03-01,11,50.56,42,0.21,8,0.22,79.21,996.69
1216,Female,37,Divorced,65430.6,Platinum,Social Media,2025-03-02,11,118.55,41,0.62,13,0.4,55.29,2025.06
1217,Other,19,Divorced,86499.83,Platinum,Push Notification,2025-01-28,13,90.09,74,0.24,6,0.2,53.92,1802.66
1218,Male,64,Widowed,59463.15,Gold,Social Media,2025-01-15,9,60.36,87,0.35,11,0.25,63.97,890.75
1219,Female,59,Widowed,70822.19,Gold,Social Media,2025-02-28,9,119.65,43,0.42,12,0.39,58.94,1711.55
1220,Male,53,Married,88671.29,Gold,SMS,2025-02-04,8,109.66,67,0.21,4,0.07,81.62,1593.32
1221,Female,53,Single,49002.66,Silver,Push Notification,2025-01-17,14,149.33,85,0.05,11,0.25,72.56,3607.57
1222,Other,31,Widowed,44221.28,Silver,SMS,2025-02-20,14,109.81,51,0.03,11,0.54,55.54,2391.18
1223,Female,40,Single,48632.16,Silver,Social Media,2025-03-14,12,76.09,29,0.31,5,0.25,73.64,1585.47
1224,Male,64,Widowed,74659.78,Silver,Push Notification,2025-02-01,10,133.15,70,0.42,12,0.09,85.19,2465.8
1225,Male,39,Married,76450.6,Gold,SMS,2025-03-11,10,125.58,32,0.21,8,0.48,74.64,2193.13
1226,Male,31,Widowed,66619.07,Platinum,Social Media,2025-02-14,4,141.91,57,0.05,11,0.26,64.51,933.82
1227,Female,68,Widowed,77436.87,Gold,Social Media,2025-03-22,18,67.89,21,0.08,13,0.38,81.42,2216.99
1228,Other,43,Widowed,61157.35,Platinum,Push Notification,2025-03-27,16,39.21,16,0.13,14,0.35,40.88,883.82
1229,Other,24,Single,42096.87,Gold,SMS,2025-01-17,8,102.22,85,0.03,9,0.15,89.94,1553.25
1230,Other,52,Divorced,63824.95,Platinum,Email,2025-02-11,7,65.46,60,0.52,10,0.62,79.15,820.9
1231,Female,47,Single,9907.5,Platinum,,2025-03-11,6,105.61,32,0.28,6,0.36,100.0,1267.32
